system,tier,seed,run,variant_id,library,R,n_steps,dt,objective_drift_rel_l2,drift_rel_l2,diffusion_rel_l2,b1_rel_l2,b2_rel_l2,a11_rel_l2,a22_rel_l2,a12_rel_l2,a12_cosine,a12_sign_acc,psd_valid_pct,generator_action_error,scope_metric_contract,runtime_sec,run_status,error,traceback_tail
maier_stein,8-bistable,9606,5,WG_SINDY_FROZEN,B,16,1200,0.01,0.22650027873563627,0.22650027873563627,0.03674047680851333,0.2843331045618147,0.15291580446763545,0.007640507638446208,0.00326681236787443,,,,1.0,0.21539651435725649,drift+tensor+psd,10.613760817010188,OK,,
duffing,8-bistable,9606,5,WG_SINDY_FROZEN,B,16,1200,0.01,0.17743164865971273,0.17743164865971273,0.026414809313953774,0.2017299243477571,0.1574495390589298,0.03158837151956493,0.013230364205042488,,,,1.0,0.17493810679833402,drift+tensor+psd,9.988994265004294,OK,,
mueller_brown,8-bistable,9606,5,WG_SINDY_FROZEN,C,16,1000,0.004,2.2858421599328853,2.2858421599328853,0.05955779433155022,2.1529764784624823,2.4238068494796665,0.041176281085832135,0.07347636087354228,,,,1.0,2.288554753397975,drift+tensor+psd,44.89993011998013,OK,,
sabr,9-financial,9606,5,WG_SINDY_FROZEN,F,16,1600,0.003968253968253968,,,0.2534638936547252,,,0.2569911032777027,0.3113385193927542,0.18550362243179103,0.9870863782468857,1.0,1.0,1.3134042793071237,drift+tensor+psd,20.046781954995822,OK,,
gbm_2d,9-financial,9606,5,WG_SINDY_FROZEN,A,16,1600,0.003968253968253968,1.1625463133605052,1.1625463133605052,0.037158697611774406,1.0,1.3934084377524552,0.11477093861805371,0.027901326323882657,0.04569067261690417,0.9989580169410643,1.0,1.0,0.8265308860833211,drift+tensor+psd,8.919191665016115,OK,,
two_factor_vasicek,9-financial,9606,5,WG_SINDY_FROZEN,A,16,1600,0.003968253968253968,0.2901418345551088,0.2901418345551088,1.0,0.2335038026733784,0.35174244665103344,1.0,1.0,1.0,,0.0,1.0,0.3054253748154926,drift+tensor+psd,13.23024069701205,OK,,
near_singular,4,9607,6,WG_SINDY_FROZEN,A,16,1200,0.01,0.2518623694721814,0.2518623694721814,174.8146419139273,0.2173274983370979,0.28836509653562215,7.970109599279298,376.1595456204416,12.756748038825641,0.6847050802872623,1.0,1.0,62.354892443897825,drift+tensor+psd,24.43396643101005,OK,,
underdamped_langevin,6,9607,6,WG_SINDY_FROZEN,B,16,1200,0.01,0.1588008069844576,0.1588008069844576,0.6078217770534099,0.0744560732855109,0.18786713345808798,,0.6076902408737237,,,,1.0,0.20478690956640905,drift+tensor+psd,7.325016015995061,OK,,
near_boundary_heston,6,9607,6,WG_SINDY_FROZEN,D,16,1200,0.01,1.170321632085138,1.170321632085138,0.195480702700213,2.549697277919628,0.8891107843018448,0.20261504773868502,0.06659979320193533,0.15362727005638147,0.9966457671223569,1.0,1.0,1.5756295361734147,drift+tensor+psd,7.397488393005915,OK,,
nonpoly_drift,6,9607,6,WG_SINDY_FROZEN,G,16,1200,0.01,0.2344167728022624,0.2344167728022624,0.0385740427186893,0.2263712088501877,0.2432145779832391,0.05207538120951696,0.016250175851664547,,,,1.0,0.23752390008532429,drift+tensor+psd,27.904476555995643,OK,,
