system,tier,seed,run,variant_id,library,R,n_steps,dt,objective_drift_rel_l2,drift_rel_l2,diffusion_rel_l2,b1_rel_l2,b2_rel_l2,a11_rel_l2,a22_rel_l2,a12_rel_l2,a12_cosine,a12_sign_acc,psd_valid_pct,generator_action_error,scope_metric_contract,runtime_sec
nondiag_cholesky,4,9106,5,WG_SINDY_FROZEN,C,16,1600,0.01,0.1261067159289899,0.1261067159289899,0.10048368429105903,0.08051312707715519,0.176842297391704,0.08849654082562254,0.12217372243415998,0.2094077939734158,0.99155332540196,1.0,1.0,0.14318435775500643,drift+tensor+psd,17.492733573017176
nongradient_circulation,3,9106,5,WG_SINDY_FROZEN,B,16,1600,0.01,0.285077940606232,0.285077940606232,0.03698808310791393,0.3182732522256281,0.24642095822942647,0.04492772692485758,0.01774850845215062,,,,1.0,0.3094650327160612,drift+tensor+psd,18.932576324004913
heston_sv,5,9105,4,WG_SINDY_FROZEN,E,16,2600,0.003968253968253968,0.30993771136650833,1.6519265467671413,0.20438087391336285,1.6519817908452172,0.30993771136650833,0.20214573212099582,27379.495744373893,0.4588887118330586,0.9616510777495397,1.0,1.0,2307.9213035557286,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null,48.108522839000216
heston_logsv,5,9106,5,WG_SINDY_FROZEN,D,16,2600,0.003968253968253968,0.14640205695633438,0.5259541993804155,0.061297629604070335,1.6333056174491156,0.14640205695633438,0.05625152007569035,0.29136582216199347,0.05399360769167329,0.9992421903993733,1.0,1.0,0.6426048534867566,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null,16.806768572016153
indep_ou,1,9107,6,WG_SINDY_FROZEN,A,16,1600,0.01,0.060799690764843636,0.060799690764843636,0.02076674708448801,0.060939632891488224,0.060658544272179524,0.014315781566239505,0.013186766497643108,,,,1.0,0.06537571070565146,drift+tensor+psd,11.026293959992472
correlated_ou,1,9107,6,WG_SINDY_FROZEN,A,16,1600,0.01,0.49524531048791914,0.49524531048791914,0.024831285789600407,0.6950535518904399,0.04531798587681217,0.01890272675266968,0.0336676275000702,0.026828798464256794,0.9999999999999997,1.0,1.0,0.4154760564274535,drift+tensor+psd,10.717948917998001
heston_sv,5,9106,5,WG_SINDY_FROZEN,E,16,2600,0.003968253968253968,0.4466507694992975,0.29855347347239586,0.04554336211641949,0.2985324168139103,0.4466507694992975,0.03738901138890452,8278.928429610347,0.12442409168604096,0.9973673180067437,1.0,1.0,1020.2464033851675,tensor+leverage+b2_variance_drift; b1_log_price_drift_reported_null,27.04119527799776
coupled_ou,1,9107,6,WG_SINDY_FROZEN,A,16,1600,0.01,0.2983283627757768,0.2983283627757768,0.028455331958652613,0.03506844707939063,0.41513997496341587,0.000194569971884989,0.02950668041037224,,,,1.0,0.2575033712980031,drift+tensor+psd,10.737859290995402
rotational_ou,2,9107,6,WG_SINDY_FROZEN,A,16,1600,0.01,0.02323581990981292,0.02323581990981292,0.04669193624175133,0.02195084838293462,0.02447238739393669,0.06599675250434789,0.0021685199762496716,,,,1.0,0.02504581051896032,drift+tensor+psd,11.467580819997238
spiral_sink_corr,2,9107,6,WG_SINDY_FROZEN,A,16,1600,0.01,0.0377552440092888,0.0377552440092888,0.0358698056145864,0.043226315471542966,0.03273563750224184,0.016486963831248706,0.014523168121953822,0.076386432414003,1.0000000000000002,1.0,1.0,0.04006714603301238,drift+tensor+psd,11.111544448009226
cir_pair,5,9106,5,WG_SINDY_FROZEN,F,16,2600,0.003968253968253968,0.5084540935054996,0.5084540935054996,0.0692362237231841,0.6659699859475239,0.3247455037138188,0.06226656975861437,0.05103036747661802,0.09926356140992071,0.9990937983935155,1.0,1.0,0.5340668545884992,tensor+leverage+CIR_pair_drift,20.26119525800459
double_well_transverse,3,9107,6,WG_SINDY_FROZEN,B,16,1600,0.01,0.09247373989702731,0.09247373989702731,0.029002839448659178,0.14332533073121131,0.03686851718644547,0.006060419387528049,0.030356138764406314,,,,1.0,0.08515145285998951,drift+tensor+psd,15.753894035995472
gradient_potential,3,9107,6,WG_SINDY_FROZEN,B,16,1600,0.01,0.21710441524999166,0.21710441524999166,0.021556164627611007,0.2361478592374102,0.20146673467775136,0.0101602551864203,0.014502081252172316,,,,1.0,0.23776568642651652,drift+tensor+psd,17.900806991994614
